siting_request_id,source_place_code,canonical_name,place_type_code,settlement_scale,urbanity,parent_source_place_code,major_city_source_place_code,region_code,region_name,terrain_zone_code,location_character,dominant_function,candidate_reference_longitude,candidate_reference_latitude,candidate_geometry_reference,spatial_assignment_status,record_role,candidate_status,source_dataset_id,source_path_reference,source_sha256,runtime_effect_scope
NG-SIT-REQ-000001,NGP-000001,Orivane,CITY,national_metropolis,metropolitan,,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,"National capital, multi-cultural metropolis, government and finance centre",national_government_and_finance,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000002,NGP-000002,Bellwether,MUNICIPALITY,municipal_urban,urban,,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Municipal service centre within Orivane Capital Territory,administration_and_services,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000003,NGP-000003,New Carrow,MUNICIPALITY,municipal_urban,urban,,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Municipal service centre within Orivane Capital Territory,trade_and_residential_growth,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000004,NGP-000004,East Meridian,MUNICIPALITY,municipal_urban,urban,,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Municipal service centre within Orivane Capital Territory,regional_production_and_services,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000005,NGP-000005,Orivane Central,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Metropolitan district of Orivane,commerce_and_mixed_use,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000006,NGP-000006,Civic Crescent,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Metropolitan district of Orivane,civic_and_public_services,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000007,NGP-000007,Parliament Hill,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Metropolitan district of Orivane,civic_and_public_services,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000008,NGP-000008,Meridian Exchange,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Metropolitan district of Orivane,commerce_and_mixed_use,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000009,NGP-000009,Old Orivane,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Metropolitan district of Orivane,heritage_and_tourism,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
NG-SIT-REQ-000010,NGP-000010,Northmere Quarter,CITY_DISTRICT,intra_city_district,metropolitan,NGP-000001,NGP-000001,NGR-01,Orivane Capital Territory,central_plateau,Metropolitan district of Orivane,international_and_mixed_use,,,,UNMAPPED_PENDING_ASSOCIATION,SETTLEMENT_SITING_REQUIREMENT,PENDING_PHYSICAL_SITING_ANALYSIS,dataset:novegeo:places:v001:700,data/novegeo/nngla/geographic-identity-places/source/04_name_catalogues/settlement_name_catalogue.csv,e6598eb8f5ca85351c11fe23629ec834d6130428a200a046ac37ddab19a4b616,SHARED_REFERENCE
